Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
429,2016,04,03,04/03/2016,03:00 PM,Blue Jays,AL,Rays,AL
917,2016,04,03,04/03/2016,07:37 PM,Mets,NL,Royals,AL
1913,2016,04,03,04/03/2016,12:00 PM,Cardinals,NL,Pirates,NL
1826,2016,04,04,04/04/2016,01:10 PM,Giants,NL,Brewers,NL
0,2016,04,04,04/04/2016,02:05 PM,Twins,AL,Orioles,AL
2213,2016,04,04,04/04/2016,03:05 PM,Mariners,AL,Rangers,AL
620,2016,04,04,04/04/2016,03:10 PM,Nationals,NL,Braves,NL
162,2016,04,04,04/04/2016,03:10 PM,Red Sox,AL,Indians,AL
1037,2016,04,04,04/04/2016,03:10 PM,Phillies,NL,Reds,NL
2373,2016,04,04,04/04/2016,06:05 PM,Dodgers,NL,Padres,NL
430,2016,04,04,04/04/2016,06:10 PM,Blue Jays,AL,Rays,AL
2240,2016,04,04,04/04/2016,08:40 PM,Rockies,NL,Diamondbacks,NL
1595,2016,04,04,04/04/2016,09:05 PM,Cubs,NL,Angels,AL
1220,2016,04,04,04/04/2016,09:05 PM,White Sox,AL,Athletics,AL
305,2016,04,04,04/04/2016,12:05 PM,Astros,AL,Yankees,AL
918,2016,04,05,04/05/2016,03:15 PM,Mets,NL,Royals,AL
1914,2016,04,05,04/05/2016,06:05 PM,Cardinals,NL,Pirates,NL
778,2016,04,05,04/05/2016,06:10 PM,Tigers,AL,Marlins,NL
431,2016,04,05,04/05/2016,06:10 PM,Blue Jays,AL,Rays,AL
2214,2016,04,05,04/05/2016,07:05 PM,Mariners,AL,Rangers,AL
1827,2016,04,05,04/05/2016,07:10 PM,Giants,NL,Brewers,NL
2241,2016,04,05,04/05/2016,08:40 PM,Rockies,NL,Diamondbacks,NL
1596,2016,04,05,04/05/2016,09:05 PM,Cubs,NL,Angels,AL
1221,2016,04,05,04/05/2016,09:05 PM,White Sox,AL,Athletics,AL
2374,2016,04,05,04/05/2016,09:10 PM,Dodgers,NL,Padres,NL
2215,2016,04,06,04/06/2016,01:05 PM,Mariners,AL,Rangers,AL
2242,2016,04,06,04/06/2016,02:40 PM,Rockies,NL,Diamondbacks,NL
779,2016,04,06,04/06/2016,03:55 PM,Tigers,AL,Marlins,NL
163,2016,04,06,04/06/2016,05:10 PM,Red Sox,AL,Indians,AL
1,2016,04,06,04/06/2016,06:05 PM,Twins,AL,Orioles,AL
1915,2016,04,06,04/06/2016,06:05 PM,Cardinals,NL,Pirates,NL
306,2016,04,06,04/06/2016,06:05 PM,Astros,AL,Yankees,AL
621,2016,04,06,04/06/2016,06:10 PM,Nationals,NL,Braves,NL
1038,2016,04,06,04/06/2016,06:10 PM,Phillies,NL,Reds,NL
2375,2016,04,06,04/06/2016,08:10 PM,Dodgers,NL,Padres,NL
1222,2016,04,06,04/06/2016,09:05 PM,White Sox,AL,Athletics,AL
432,2016,04,06,04/06/2016,12:10 PM,Blue Jays,AL,Rays,AL
1828,2016,04,06,04/06/2016,12:40 PM,Giants,NL,Brewers,NL
1223,2016,04,07,04/07/2016,02:35 PM,White Sox,AL,Athletics,AL
780,2016,04,07,04/07/2016,03:05 PM,Marlins,NL,Nationals,NL
307,2016,04,07,04/07/2016,03:05 PM,Astros,AL,Yankees,AL
2376,2016,04,07,04/07/2016,03:35 PM,Dodgers,NL,Giants,NL
164,2016,04,07,04/07/2016,05:10 PM,Red Sox,AL,Indians,AL
2,2016,04,07,04/07/2016,06:05 PM,Twins,AL,Orioles,AL
