Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
1,2016,04,03,04/03/2016,03:00 PM,Blue Jays,AL,Rays,AL
2,2016,04,03,04/03/2016,07:37 PM,Mets,NL,Royals,AL
3,2016,04,03,04/03/2016,12:00 PM,Cardinals,NL,Pirates,NL
4,2016,04,04,04/04/2016,01:10 PM,Giants,NL,Brewers,NL
5,2016,04,04,04/04/2016,02:05 PM,Twins,AL,Orioles,AL
6,2016,04,04,04/04/2016,03:05 PM,Mariners,AL,Rangers,AL
7,2016,04,04,04/04/2016,03:10 PM,Nationals,NL,Braves,NL
8,2016,04,04,04/04/2016,03:10 PM,Red Sox,AL,Indians,AL
9,2016,04,04,04/04/2016,03:10 PM,Phillies,NL,Reds,NL
10,2016,04,04,04/04/2016,06:05 PM,Dodgers,NL,Padres,NL
11,2016,04,04,04/04/2016,06:10 PM,Blue Jays,AL,Rays,AL
12,2016,04,04,04/04/2016,08:40 PM,Rockies,NL,Diamondbacks,NL
13,2016,04,04,04/04/2016,09:05 PM,Cubs,NL,Angels,AL
14,2016,04,04,04/04/2016,09:05 PM,White Sox,AL,Athletics,AL
15,2016,04,04,04/04/2016,12:05 PM,Astros,AL,Yankees,AL
16,2016,04,05,04/05/2016,03:15 PM,Mets,NL,Royals,AL
17,2016,04,05,04/05/2016,06:05 PM,Cardinals,NL,Pirates,NL
18,2016,04,05,04/05/2016,06:10 PM,Tigers,AL,Marlins,NL
19,2016,04,05,04/05/2016,06:10 PM,Blue Jays,AL,Rays,AL
20,2016,04,05,04/05/2016,07:05 PM,Mariners,AL,Rangers,AL
21,2016,04,05,04/05/2016,07:10 PM,Giants,NL,Brewers,NL
22,2016,04,05,04/05/2016,08:40 PM,Rockies,NL,Diamondbacks,NL
23,2016,04,05,04/05/2016,09:05 PM,Cubs,NL,Angels,AL
24,2016,04,05,04/05/2016,09:05 PM,White Sox,AL,Athletics,AL
25,2016,04,05,04/05/2016,09:10 PM,Dodgers,NL,Padres,NL
26,2016,04,06,04/06/2016,01:05 PM,Mariners,AL,Rangers,AL
27,2016,04,06,04/06/2016,02:40 PM,Rockies,NL,Diamondbacks,NL
28,2016,04,06,04/06/2016,03:55 PM,Tigers,AL,Marlins,NL
29,2016,04,06,04/06/2016,05:10 PM,Red Sox,AL,Indians,AL
30,2016,04,06,04/06/2016,06:05 PM,Twins,AL,Orioles,AL
31,2016,04,06,04/06/2016,06:05 PM,Cardinals,NL,Pirates,NL
32,2016,04,06,04/06/2016,06:05 PM,Astros,AL,Yankees,AL
33,2016,04,06,04/06/2016,06:10 PM,Nationals,NL,Braves,NL
34,2016,04,06,04/06/2016,06:10 PM,Phillies,NL,Reds,NL
35,2016,04,06,04/06/2016,08:10 PM,Dodgers,NL,Padres,NL
36,2016,04,06,04/06/2016,09:05 PM,White Sox,AL,Athletics,AL
37,2016,04,06,04/06/2016,12:10 PM,Blue Jays,AL,Rays,AL
38,2016,04,06,04/06/2016,12:40 PM,Giants,NL,Brewers,NL
39,2016,04,07,04/07/2016,02:35 PM,White Sox,AL,Athletics,AL
40,2016,04,07,04/07/2016,03:05 PM,Marlins,NL,Nationals,NL
41,2016,04,07,04/07/2016,03:05 PM,Astros,AL,Yankees,AL
42,2016,04,07,04/07/2016,03:35 PM,Dodgers,NL,Giants,NL
43,2016,04,07,04/07/2016,05:10 PM,Red Sox,AL,Indians,AL
44,2016,04,07,04/07/2016,06:05 PM,Twins,AL,Orioles,AL
45,2016,04,07,04/07/2016,08:40 PM,Cubs,NL,Diamondbacks,NL
46,2016,04,07,04/07/2016,09:05 PM,Rangers,AL,Angels,AL
47,2016,04,07,04/07/2016,11:35 AM,Phillies,NL,Reds,NL
48,2016,04,08,04/08/2016,03:10 PM,Padres,NL,Rockies,NL
49,2016,04,08,04/08/2016,03:10 PM,Indians,AL,White Sox,AL
50,2016,04,08,04/08/2016,06:05 PM,Rays,AL,Orioles,AL
51,2016,04,08,04/08/2016,06:07 PM,Red Sox,AL,Blue Jays,AL
52,2016,04,08,04/08/2016,06:10 PM,Pirates,NL,Reds,NL
53,2016,04,08,04/08/2016,06:35 PM,Cardinals,NL,Braves,NL
54,2016,04,08,04/08/2016,07:10 PM,Astros,AL,Brewers,NL
55,2016,04,08,04/08/2016,07:15 PM,Twins,AL,Royals,AL
56,2016,04,08,04/08/2016,08:40 PM,Cubs,NL,Diamondbacks,NL
57,2016,04,08,04/08/2016,09:05 PM,Rangers,AL,Angels,AL
58,2016,04,08,04/08/2016,09:10 PM,Athletics,AL,Mariners,AL
59,2016,04,08,04/08/2016,09:15 PM,Dodgers,NL,Giants,NL
60,2016,04,08,04/08/2016,12:10 PM,Phillies,NL,Mets,NL
61,2016,04,08,04/08/2016,12:10 PM,Yankees,AL,Tigers,AL
62,2016,04,09,04/09/2016,01:10 PM,Indians,AL,White Sox,AL
63,2016,04,09,04/09/2016,03:05 PM,Dodgers,NL,Giants,NL
64,2016,04,09,04/09/2016,03:05 PM,Marlins,NL,Nationals,NL
65,2016,04,09,04/09/2016,06:05 PM,Rays,AL,Orioles,AL
66,2016,04,09,04/09/2016,06:10 PM,Cardinals,NL,Braves,NL
67,2016,04,09,04/09/2016,06:10 PM,Astros,AL,Brewers,NL
68,2016,04,09,04/09/2016,06:10 PM,Phillies,NL,Mets,NL
69,2016,04,09,04/09/2016,06:15 PM,Twins,AL,Royals,AL
70,2016,04,09,04/09/2016,07:10 PM,Cubs,NL,Diamondbacks,NL
71,2016,04,09,04/09/2016,07:10 PM,Padres,NL,Rockies,NL
72,2016,04,09,04/09/2016,08:05 PM,Rangers,AL,Angels,AL
73,2016,04,09,04/09/2016,08:10 PM,Athletics,AL,Mariners,AL
