playername|playerid
Clayton Kershaw|2036.0
Max Scherzer|3137.0
David Price|3184.0
Chris Sale|10603.0
Felix Hernandez|4772.0
Zack Greinke|1943.0
Cole Hamels|4972.0
Justin Verlander|8700.0
Jon Lester|4930.0
Adam Wainwright|2233.0
Corey Kluber|2429.0
Madison Bumgarner|5524.0
Jordan Zimmermann|4505.0
Stephen Strasburg|10131.0
Gio Gonzalez|7448.0
Jose Quintana|11423.0
Johnny Cueto|6893.0
Jake Arrieta|4153.0
Anibal Sanchez|3284.0
Lance Lynn|2520.0
Yu Darvish|13074.0
James Shields|7059.0
Cliff Lee|1636.0
Jeff Samardzija|3254.0
Matt Harvey|11713.0
Bartolo Colon|375.0
A.J. Burnett|512.0
Mat Latos|3815.0
Hiroki Kuroda|3283.0
Dallas Keuchel|9434.0
R.A. Dickey|1245.0
Phil Hughes|7450.0
Aroldis Chapman|10233.0
Chris Archer|6345.0
Gerrit Cole|13125.0
Francisco Liriano|3201.0
Rick Porcello|2717.0
Wade Miley|8779.0
Tyson Ross|7872.0
Wei-Yin Chen|13071.0
Craig Kimbrel|6655.0
Hisashi Iwakuma|13048.0
Yovani Gallardo|8173.0
Doug Fister|9425.0
Jake Peavy|1051.0
Mark Buehrle|225.0
Jacob deGrom|10954.0
Nathan Eovaldi|9132.0
CC Sabathia|404.0
Garrett Richards|9784.0
Sonny Gray|12768.0
John Lackey|1507.0
Kenley Jansen|3096.0
Clay Buchholz|3543.0
Homer Bailey|8362.0
Scott Kazmir|4897.0
Carlos Carrasco|6632.0
Kyle Lohse|739.0
Greg Holland|7196.0
Jon Niese|4424.0
Jose Fernandez|11530.0
Andrew Cashner|8782.0
Wade Davis|7441.0
Ian Kennedy|6986.0
Alex Cobb|6562.0
Hyun-Jin Ryu|14444.0
Chris Tillman|5279.0
C.J. Wilson|3580.0
Mike Leake|10130.0
Jason Hammel|4538.0
Jered Weaver|4235.0
J.A. Happ|7410.0
Ricky Nolasco|3830.0
Julio Teheran|6797.0
Ubaldo Jimenez|3374.0
Marco Estrada|1118.0
Mike Fiers|7754.0
Collin McHugh|7531.0
Shelby Miller|10197.0
Derek Holland|4141.0
Alex Wood|13781.0
David Robertson|8241.0
Scott Feldman|6283.0
Kris Medlen|9417.0
Drew Smyly|11760.0
Jaime Garcia|8137.0
Jake McGee|7550.0
Koji Uehara|9227.0
Matt Garza|3340.0
Danny Salazar|5867.0
Patrick Corbin|9323.0
Edinson Volquez|3990.0
Brandon McCarthy|4662.0
Justin Masterson|2038.0
Sean Doolittle|1581.0
Tommy Milone|7608.0
Tim Hudson|921.0
Mark Melancon|4264.0
Bud Norris|9492.0
Dan Haren|1757.0
