04-10
Red Sox||Blue Jays
Steven Wright|R|Marco Estrada|R
Mookie Betts|R|Kevin Pillar|R
Dustin Pedroia|R|Josh Donaldson|R
Xander Bogaerts|R|Jose Bautista|R
David Ortiz|L|Edwin Encarnacion|R
Hanley Ramirez|R|Troy Tulowitzki|R
Travis Shaw|L|Michael Saunders|L
Chris Young|R|Russell Martin|R
Blake Swihart|S|Ryan Goins|L
Jackie Bradley Jr.|L|Darwin Barney|R
Phillies||Mets
Jeremy Hellickson|R|Matt Harvey|R
Freddy Galvis|S|Curtis Granderson|L
Cesar Hernandez|S|David Wright|R
Odubel Herrera|L|Yoenis Cespedes|R
Maikel Franco|R|Lucas Duda|L
Ryan Howard|L|Neil Walker|S
Carlos Ruiz|R|Michael Conforto|L
Cedric Hunter|L|Asdrubal Cabrera|S
Peter Bourjos|R|Kevin Plawecki|R
Jeremy Hellickson|R|Matt Harvey|R
Pirates||Reds
Jeff Locke|L|Tim Melville|R
John Jaso|L|Zack Cozart|R
Andrew McCutchen|R|Eugenio Suarez|R
David Freese|R|Joey Votto|L
Starling Marte|R|Brandon Phillips|R
Gregory Polanco|L|Devin Mesoraco|R
Josh Harrison|R|Jay Bruce|L
Jordy Mercer|R|Adam Duvall|R
Chris Stewart|R|Tim Melville|R
Jeff Locke|L|Billy Hamilton|S
Marlins||Nationals
Tom Koehler|R|Joe Ross|R
Dee Gordon|L|Michael Taylor|R
Marcell Ozuna|R|Anthony Rendon|R
Christian Yelich|L|Bryce Harper|L
Giancarlo Stanton|R|Daniel Murphy|L
Martin Prado|R|Jayson Werth|R
Justin Bour|L|Wilson Ramos|R
J.T. Realmuto|R|Clint Robinson|L
Adeiny Hechavarria|R|Danny Espinosa|S
Tom Koehler|R|Joe Ross|R
Cardinals||Braves
Adam Wainwright|R|Williams Perez|R
Matt Carpenter|L|Erick Aybar|S
Jeremy Hazelbaker|L|Nick Markakis|L
Stephen Piscotty|R|Freddie Freeman|L
