Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
1,2017,04,02,04/02/2016,03:00 PM,Giants,NL,Diamondbacks,NL
2,2017,04,02,04/02/2016,07:30 PM,Cubs,NL,Cardinals,NL
3,2017,04,02,04/02/2016,12:00 PM,Yankees,AL,Rays,AL
4,2017,04,03,04/03/2016,01:05 PM,Pirates,NL,Red Sox,AL
5,2017,04,03,04/03/2016,01:10 PM,Rockies,NL,Brewers,NL
6,2017,04,03,04/03/2016,02:05 PM,Blue Jays,AL,Orioles,AL
7,2017,04,03,04/03/2016,03:00 PM,Padres,NL,Dodgers,NL
8,2017,04,03,04/03/2016,03:10 PM,Phillies,NL,Reds,NL
9,2017,04,03,04/03/2016,03:10 PM,Royals,AL,Twins,AL
10,2017,04,03,04/03/2016,03:10 PM,Tigers,AL,White Sox,AL
11,2017,04,03,04/03/2016,06:00 PM,Indians,AL,Rangers,AL
12,2017,04,03,04/03/2016,07:10 PM,Mariners,AL,Astros,AL
13,2017,04,03,04/03/2016,09:00 PM,Angels,AL,Athletics,AL
14,2017,04,03,04/03/2016,12:00 PM,Braves,NL,Mets,NL
15,2017,04,03,04/03/2016,12:05 PM,Marlins,NL,Nationals,NL
16,2017,04,04,04/04/2016,06:10 PM,Yankees,AL,Rays,AL
17,2017,04,04,04/04/2016,06:40 PM,Rockies,NL,Brewers,NL
18,2017,04,04,04/04/2016,07:05 PM,Indians,AL,Rangers,AL
19,2017,04,04,04/04/2016,07:10 PM,Mariners,AL,Astros,AL
20,2017,04,04,04/04/2016,07:15 PM,Cubs,NL,Cardinals,NL
21,2017,04,04,04/04/2016,08:40 PM,Giants,NL,Diamondbacks,NL
22,2017,04,04,04/04/2016,09:05 PM,Angels,AL,Athletics,AL
23,2017,04,04,04/04/2016,09:10 PM,Padres,NL,Dodgers,NL
24,2017,04,05,04/05/2016,01:10 PM,Tigers,AL,White Sox,AL
25,2017,04,05,04/05/2016,06:05 PM,Marlins,NL,Nationals,NL
26,2017,04,05,04/05/2016,06:05 PM,Blue Jays,AL,Orioles,AL
27,2017,04,05,04/05/2016,06:10 PM,Braves,NL,Mets,NL
28,2017,04,05,04/05/2016,06:10 PM,Yankees,AL,Rays,AL
29,2017,04,05,04/05/2016,06:10 PM,Pirates,NL,Red Sox,AL
30,2017,04,05,04/05/2016,06:10 PM,Phillies,NL,Reds,NL
31,2017,04,05,04/05/2016,07:05 PM,Indians,AL,Rangers,AL
32,2017,04,05,04/05/2016,07:10 PM,Mariners,AL,Astros,AL
33,2017,04,05,04/05/2016,07:10 PM,Rockies,NL,Brewers,NL
34,2017,04,05,04/05/2016,08:40 PM,Giants,NL,Diamondbacks,NL
35,2017,04,05,04/05/2016,09:05 PM,Angels,AL,Athletics,AL
36,2017,04,05,04/05/2016,09:10 PM,Padres,NL,Dodgers,NL
37,2017,04,05,04/05/2016,12:10 PM,Royals,AL,Twins,AL
38,2017,04,05,04/05/2016,12:45 PM,Cubs,NL,Cardinals,NL
39,2017,04,06,04/06/2016,01:10 PM,Tigers,AL,White Sox,AL
40,2017,04,06,04/06/2016,02:10 PM,Padres,NL,Dodgers,NL
41,2017,04,06,04/06/2016,02:35 PM,Angels,AL,Athletics,AL
42,2017,04,06,04/06/2016,03:05 PM,Marlins,NL,Nationals,NL
43,2017,04,06,04/06/2016,06:10 PM,Braves,NL,Mets,NL
44,2017,04,06,04/06/2016,06:10 PM,Blue Jays,AL,Rays,AL
45,2017,04,06,04/06/2016,07:10 PM,Mariners,AL,Astros,AL
46,2017,04,06,04/06/2016,08:40 PM,Giants,NL,Diamondbacks,NL
47,2017,04,06,04/06/2016,11:35 AM,Phillies,NL,Reds,NL
48,2017,04,06,04/06/2016,12:10 PM,Royals,AL,Twins,AL
49,2017,04,06,04/06/2016,12:35 PM,Pirates,NL,Red Sox,AL
50,2017,04,06,04/06/2016,12:40 PM,Rockies,NL,Brewers,NL
51,2017,04,07,04/07/2016,02:05 PM,Nationals,NL,Phillies,NL
52,2017,04,07,04/07/2016,03:10 PM,Dodgers,NL,Rockies,NL
53,2017,04,07,04/07/2016,05:40 PM,Giants,NL,Padres,NL
54,2017,04,07,04/07/2016,06:05 PM,Yankees,AL,Orioles,AL
55,2017,04,07,04/07/2016,06:10 PM,Marlins,NL,Mets,NL
56,2017,04,07,04/07/2016,06:10 PM,Blue Jays,AL,Rays,AL
57,2017,04,07,04/07/2016,07:05 PM,Athletics,AL,Rangers,AL
58,2017,04,07,04/07/2016,07:10 PM,Royals,AL,Astros,AL
59,2017,04,07,04/07/2016,07:10 PM,Cubs,NL,Brewers,NL
60,2017,04,07,04/07/2016,07:10 PM,Twins,AL,White Sox,AL
61,2017,04,07,04/07/2016,07:15 PM,Reds,NL,Cardinals,NL
62,2017,04,07,04/07/2016,08:40 PM,Indians,AL,Diamondbacks,NL
63,2017,04,07,04/07/2016,09:07 PM,Mariners,AL,Angels,AL
64,2017,04,07,04/07/2016,12:05 PM,Braves,NL,Pirates,NL
65,2017,04,07,04/07/2016,12:10 PM,Red Sox,AL,Tigers,AL
66,2017,04,08,04/08/2016,01:10 PM,Twins,AL,White Sox,AL
67,2017,04,08,04/08/2016,01:15 PM,Reds,NL,Cardinals,NL
68,2017,04,08,04/08/2016,03:05 PM,Yankees,AL,Orioles,AL
69,2017,04,08,04/08/2016,05:10 PM,Blue Jays,AL,Rays,AL
70,2017,04,08,04/08/2016,06:05 PM,Nationals,NL,Phillies,NL
71,2017,04,08,04/08/2016,06:05 PM,Braves,NL,Pirates,NL
72,2017,04,08,04/08/2016,06:10 PM,Royals,AL,Astros,AL
73,2017,04,08,04/08/2016,06:10 PM,Cubs,NL,Brewers,NL
74,2017,04,08,04/08/2016,06:10 PM,Marlins,NL,Mets,NL
75,2017,04,08,04/08/2016,07:05 PM,Athletics,AL,Rangers,AL
76,2017,04,08,04/08/2016,07:10 PM,Indians,AL,Diamondbacks,NL
77,2017,04,08,04/08/2016,07:10 PM,Dodgers,NL,Rockies,NL
78,2017,04,08,04/08/2016,07:40 PM,Giants,NL,Padres,NL
79,2017,04,08,04/08/2016,09:07 PM,Mariners,AL,Angels,AL
80,2017,04,08,04/08/2016,12:10 PM,Red Sox,AL,Tigers,AL
81,2017,04,09,04/09/2016,01:10 PM,Royals,AL,Astros,AL
82,2017,04,09,04/09/2016,01:10 PM,Cubs,NL,Brewers,NL
83,2017,04,09,04/09/2016,01:10 PM,Twins,AL,White Sox,AL
84,2017,04,09,04/09/2016,01:15 PM,Reds,NL,Cardinals,NL
85,2017,04,09,04/09/2016,02:05 PM,Athletics,AL,Rangers,AL
86,2017,04,09,04/09/2016,02:10 PM,Dodgers,NL,Rockies,NL
87,2017,04,09,04/09/2016,02:37 PM,Mariners,AL,Angels,AL
88,2017,04,09,04/09/2016,03:10 PM,Indians,AL,Diamondbacks,NL
89,2017,04,09,04/09/2016,03:40 PM,Giants,NL,Padres,NL
90,2017,04,09,04/09/2016,07:00 PM,Marlins,NL,Mets,NL
91,2017,04,09,04/09/2016,12:10 PM,Blue Jays,AL,Rays,AL
92,2017,04,09,04/09/2016,12:10 PM,Red Sox,AL,Tigers,AL
93,2017,04,09,04/09/2016,12:35 PM,Yankees,AL,Orioles,AL
94,2017,04,09,04/09/2016,12:35 PM,Nationals,NL,Phillies,NL
95,2017,04,09,04/09/2016,12:35 PM,Braves,NL,Pirates,NL
96,2017,04,10,04/10/2016,03:15 PM,Athletics,AL,Royals,AL
97,2017,04,10,04/10/2016,03:35 PM,Diamondbacks,NL,Giants,NL
98,2017,04,10,04/10/2016,04:10 PM,Astros,AL,Mariners,AL
99,2017,04,10,04/10/2016,06:05 PM,Cardinals,NL,Nationals,NL
100,2017,04,10,04/10/2016,06:05 PM,Mets,NL,Phillies,NL
101,2017,04,10,04/10/2016,06:05 PM,Reds,NL,Pirates,NL
